transaction_id,date,product_id,customer_id,quantity,unit_price,region,sales_rep,payment_method,total_amount,first_name,last_name,email,phone,city,state,signup_date,customer_segment,total_purchases,lifetime_value,product_name,category,subcategory,cost_price,retail_price,stock_quantity,supplier,weight_kg,is_active,profit_margin
TXN000789,2024-01-01,PRD008,CUST0185,5,67.02,North,David Lee,Credit Card,335.1,Patricia,Jackson,sarah.lopez@email.com,(966) 905-2480,Phoenix,OH,2022-05-08,Basic,4,510.82,Headphones B,Electronics,Headphones,14.97,58.17,56.0,Supplier D,0.83,True,74.27
TXN000385,2024-01-01,PRD011,CUST0130,4,15.69,West,Lisa Martinez,Debit Card,62.76,Nancy,Garcia,lisa.garcia@email.com,(354) 970-2584,Dallas,GA,2022-03-24,Standard,29,2120.24,Camera A,Electronics,Camera,350.91,428.34,184.0,Supplier C,2.19,True,18.08
TXN000408,2024-01-01,PRD049,CUST0164,8,181.81,South,Lisa Martinez,Credit Card,1454.48,Thomas,White,william.williams@email.com,(703) 912-2609,San Antonio,GA,2023-03-10,Standard,21,8984.23,,,,,,,,,,
TXN000128,2024-01-01,PRD031,CUST0142,7,426.11,West,Mary Johnson,Cash,2982.77,David,Moore,thomas.williams@email.com,(397) 329-1699,Philadelphia,CA,2023-02-06,Basic,18,7102.06,Fiction A,Books,Fiction,289.5,191.2,231.0,Supplier A,0.58,True,-51.41
TXN000838,2024-01-02,PRD043,CUST0173,1,350.57,Central,John Smith,Credit Card,350.57,Patricia,Johnson,john.moore@email.com,(267) 518-9303,San Antonio,FL,2023-01-16,Standard,10,8709.53,Accessories A,Clothing,Accessories,338.8,280.69,160.0,Supplier B,1.08,True,-20.7
TXN000307,2024-01-02,PRD044,CUST0123,7,347.06,West,Robert Garcia,Cash,2429.42,Daniel,Davis,susan.davis@email.com,(700) 876-5341,Philadelphia,CA,2022-05-21,Basic,24,4558.47,Accessories B,Clothing,Accessories,277.78,461.78,67.0,Supplier B,2.57,True,39.85
TXN000116,2024-01-02,PRD033,CUST0187,7,54.88,East,David Lee,Cash,384.16,Lisa,Taylor,james.hernandez@email.com,(250) 366-4511,Phoenix,GA,2023-07-12,Basic,14,5641.47,Non-Fiction A,Books,Non-Fiction,283.82,37.2,84.0,Supplier D,0.79,False,-662.96
TXN000223,2024-01-02,PRD007,CUST0029,6,443.06,North,Michael Brown,Cash,2658.36,Susan,Miller,joseph.smith@email.com,(276) 222-2056,Chicago,FL,2023-02-08,Basic,17,6291.79,Headphones A,Electronics,Headphones,223.77,456.52,352.0,Supplier D,1.72,True,50.98
TXN000714,2024-01-02,PRD006,CUST0049,6,61.01,North,Robert Garcia,Credit Card,366.06,Karen,Martin,robert.jackson@email.com,(529) 597-5430,San Diego,IL,2022-07-03,Premium,34,2120.47,Tablet B,Electronics,Tablet,334.28,486.96,183.0,Supplier D,1.55,True,31.35
TXN000444,2024-01-03,PRD029,CUST0079,7,117.41,South,Michael Brown,Debit Card,821.87,Barbara,Wilson,christopher.williams@email.com,(854) 698-6198,Phoenix,GA,2022-05-12,Standard,18,8856.34,Sports Accessories A,Sports,Sports Accessories,357.14,287.73,335.0,Supplier D,4.76,True,-24.12
TXN000165,2024-01-04,PRD047,CUST0156,1,444.13,South,Robert Garcia,Debit Card,444.13,Linda,Williams,mary.thomas@email.com,(870) 697-8750,Dallas,PA,2022-12-05,Basic,1,6042.49,,,,,,,,,,
TXN000499,2024-01-04,PRD042,CUST0114,4,186.02,North,Michael Brown,Wire Transfer,744.08,Charles,Thomas,william.williams@email.com,(504) 443-2571,Phoenix,NC,2023-07-04,Premium,6,9415.82,Women's Wear B,Clothing,Women's Wear,388.49,234.63,68.0,Supplier B,2.12,True,-65.58
TXN000022,2024-01-04,PRD048,CUST0147,6,23.0,South,Mary Johnson,Debit Card,138.0,William,Wilson,barbara.johnson@email.com,(597) 769-7510,Los Angeles,NY,2023-12-28,Basic,25,109.34,,,,,,,,,,
TXN000314,2024-01-05,PRD015,CUST0070,4,314.25,East,Mary Johnson,Debit Card,1257.0,Daniel,Davis,susan.martin@email.com,(333) 548-3907,San Diego,FL,2023-10-02,Standard,36,4890.22,Lighting A,Home & Garden,Lighting,116.01,202.07,435.0,Supplier D,4.02,True,42.59
TXN000945,2024-01-05,PRD046,CUST0163,6,325.51,South,John Smith,Cash,1953.06,Daniel,Lopez,susan.hernandez@email.com,(510) 518-5593,San Jose,AZ,2023-03-02,Standard,27,777.56,Shoes B,Clothing,Shoes,272.95,448.53,273.0,Supplier C,4.4,False,39.15
TXN000285,2024-01-05,PRD040,CUST0185,4,88.77,East,Jennifer Davis,PayPal,355.08,Patricia,Jackson,sarah.lopez@email.com,(966) 905-2480,Phoenix,OH,2022-05-08,Basic,4,510.82,Men's Wear B,Clothing,Men's Wear,294.89,77.27,198.0,Supplier C,2.57,False,-281.64
TXN000268,2024-01-05,PRD025,CUST0064,1,332.64,West,Mary Johnson,Cash,332.64,David,Jackson,john.taylor@email.com,(776) 392-9064,New York,FL,2023-04-12,Standard,43,897.75,Outdoor Gear A,Sports,Outdoor Gear,207.7,281.99,193.0,Supplier D,4.1,True,26.34
TXN000921,2024-01-05,PRD045,CUST0099,8,478.69,West,Robert Garcia,Debit Card,3829.52,Jessica,Anderson,barbara.moore@email.com,(584) 303-8855,San Jose,OH,2023-11-07,Basic,6,4295.32,Shoes A,Clothing,Shoes,287.04,383.98,287.0,Supplier D,2.96,False,25.25
TXN000107,2024-01-06,PRD005,CUST0173,7,347.32,Central,Robert Garcia,Cash,2431.24,Patricia,Johnson,john.moore@email.com,(267) 518-9303,San Antonio,FL,2023-01-16,Standard,10,8709.53,Tablet A,Electronics,Tablet,120.26,395.61,254.0,Supplier B,3.08,True,69.6
TXN000616,2024-01-06,PRD017,CUST0194,6,337.42,Central,Sarah Wilson,Credit Card,2024.52,Daniel,Lee,daniel.rodriguez@email.com,(458) 822-6004,San Antonio,NC,2022-03-17,Standard,17,5323.12,Decor A,Home & Garden,Decor,322.88,344.02,92.0,Supplier D,3.92,True,6.14
TXN000580,2024-01-07,PRD047,CUST0098,2,332.85,North,John Smith,Debit Card,665.7,Nancy,Hernandez,charles.wilson@email.com,(587) 559-9946,Dallas,IL,2022-11-04,Standard,40,9200.16,,,,,,,,,,
TXN000672,2024-01-07,PRD014,CUST0119,2,304.79,North,David Lee,Cash,609.58,Susan,Garcia,charles.lee@email.com,(404) 299-1421,San Antonio,CA,2022-09-26,Basic,8,4011.03,Furniture B,Home & Garden,Furniture,155.32,181.22,58.0,Supplier D,2.06,False,14.29
TXN000810,2024-01-08,PRD012,CUST0003,2,384.76,East,Sarah Wilson,Credit Card,769.52,David,Taylor,jessica.jones@email.com,(645) 878-3141,Philadelphia,FL,2022-05-03,Standard,8,5515.75,Camera B,Electronics,Camera,47.05,382.73,23.0,Supplier A,4.27,True,87.71
TXN000986,2024-01-08,PRD006,CUST0034,7,469.32,Central,John Smith,Cash,3285.24,William,Jackson,robert.lee@email.com,(941) 604-9128,Philadelphia,NC,2022-08-10,Premium,20,6392.89,Tablet B,Electronics,Tablet,334.28,486.96,183.0,Supplier D,1.55,True,31.35
